update,timesteps,games,games_in_rollout,elapsed_s,steps_per_s,rollout_s,update_s,wait_s,win_rate,win_rate_us,win_rate_ussr,draw_rate,win_rate_vs_pool,win_rate_vs_anchor,ep_len_mean,turn_mean,vp_mean,entropy,k_valid,entropy_ratio,k_eff,approx_kl,clip_fraction,explained_variance,policy_loss,value_loss,entropy_loss,pool_size,anchor,eval_seed,eval_games,eval_win_rate,eval_win_rate_us,eval_win_rate_ussr,eval_s
236,1933312,8108,40,2729.8,2373.2,3.5,8.1,2.22,0.913,0.8,1.0,0.0,0.913,,218.4,5.1,9.52,0.9396,12.06,0.3774,2.56,0.01,0.0854,0.7905,-0.0086,0.0325,-0.8648,47,random,,,,,,
237,1941504,8147,39,2741.5,2380.4,3.4,8.3,2.21,0.7895,0.7778,0.8,0.0526,0.7895,,230.7,4.77,5.95,0.9987,13.3,0.3859,2.71,0.0102,0.0822,0.8264,-0.0082,0.0278,-0.8996,47,random,,,,,,
238,1949696,8175,28,2753.1,2524.2,3.2,8.1,2.07,0.8333,0.7273,1.0,0.0,0.8333,,186.7,4.61,2.17,0.9884,12.79,0.3878,2.69,0.0109,0.1042,0.7502,-0.0091,0.0344,-0.8898,47,random,,,,,,
239,1957888,8214,39,2764.7,2512.0,3.3,8.2,2.03,0.9,0.7778,1.0,0.0,0.9,,232.9,4.62,8.45,1.0021,13.13,0.3891,2.72,0.011,0.1079,0.771,-0.0069,0.0336,-0.9036,47,random,,,,,,
240,1966080,8244,30,2776.4,2466.9,3.3,8.2,2.09,0.7333,0.6667,0.7778,0.0,0.7333,,270.6,5.5,5.6,1.061,13.7,0.4054,2.89,0.0095,0.0858,0.867,-0.0096,0.0212,-0.9217,47,random,,,,,,
241,1974272,8267,23,2787.9,2655.0,3.1,8.2,1.86,0.9231,0.8333,1.0,0.0,0.9231,,296.8,6.39,9.54,1.0583,13.59,0.4056,2.88,0.0131,0.1112,0.8319,-0.0088,0.0225,-0.9281,48,random,,,,,,
242,1982464,8300,33,2799.4,2568.9,3.2,8.2,1.96,0.7333,0.6667,0.7778,0.0,0.7333,,322.4,6.39,1.27,0.9746,12.34,0.3878,2.65,0.0112,0.1078,0.7637,-0.0083,0.0341,-0.9027,48,random,,,,,,
243,1990656,8325,25,2810.8,2763.5,3.0,8.2,1.76,0.8182,0.8,0.8333,0.0,0.8182,,217.4,4.64,12.0,1.0199,13.06,0.3969,2.77,0.0089,0.0908,0.8299,-0.0075,0.0255,-0.919,48,random,,,,,,
244,1998848,8350,25,2822.3,2589.5,3.2,8.2,1.95,0.7778,1.0,0.6667,0.0,0.7778,,328.4,6.28,11.22,0.9917,13.75,0.3783,2.7,0.0103,0.0985,0.8044,-0.0086,0.0234,-0.9031,48,random,,,,,,
245,2007040,8384,34,2834.0,2474.3,3.3,8.4,2.08,0.8947,0.9167,0.8571,0.0,0.8947,,266.5,5.12,6.84,1.005,14.44,0.3764,2.73,0.0091,0.0782,0.826,-0.0104,0.0276,-0.8905,48,random,,,,,,
246,2015232,8422,38,2845.9,2447.4,3.3,8.2,2.13,0.9,0.8333,0.9286,0.0,0.9,,262.8,5.39,9.05,1.0425,13.63,0.3991,2.84,0.0094,0.0974,0.8556,-0.0089,0.0273,-0.9245,49,random,,,,,,
247,2023424,8445,23,2857.6,2402.8,3.4,8.2,2.21,0.8333,0.8571,0.8,0.0,0.8333,,264.7,5.13,9.83,1.0533,14.05,0.3986,2.87,0.009,0.0937,0.8632,-0.0089,0.0256,-0.9151,49,random,,,,,,
248,2031616,8474,29,2869.1,2638.4,3.1,8.3,1.91,0.875,0.8,1.0,0.0,0.875,,312.4,6.45,13.25,1.0517,14.51,0.3932,2.86,0.0118,0.0991,0.8783,-0.0101,0.0206,-0.9446,49,random,,,,,,
249,2039808,8492,18,2880.6,2693.3,3.0,8.3,1.85,1.0,1.0,1.0,0.0,1.0,,251.7,5.28,15.2,1.0244,14.18,0.3863,2.79,0.0098,0.0908,0.8619,-0.0078,0.0197,-0.9274,49,random,,,,,,
250,2048000,8521,29,2892.1,2706.6,3.0,9.6,1.85,0.6154,0.5,0.8,0.0,0.6154,,327.3,6.17,0.62,1.0291,14.1,0.3889,2.8,0.0117,0.112,0.8486,-0.0075,0.0238,-0.9621,49,random,1017,200,0.43,0.61,0.25,4.0
251,2056192,8548,27,2908.8,2728.1,3.0,8.3,1.81,0.8182,1.0,0.7143,0.0,0.8182,,331.7,6.11,7.64,1.0942,14.65,0.4076,2.99,0.008,0.0994,0.778,-0.0091,0.0324,-0.9778,50,random,,,,,,
252,2064384,8576,28,2920.3,2650.2,3.1,8.4,1.89,0.9286,1.0,0.8333,0.0,0.9286,,275.0,5.43,10.57,1.052,15.06,0.3879,2.86,0.0104,0.0827,0.8306,-0.01,0.0239,-0.9376,50,random,,,,,,
253,2072576,8599,23,2932.0,2684.5,3.1,8.3,1.85,0.6667,0.5,1.0,0.0,0.6667,,397.7,6.87,1.33,1.0574,14.84,0.3921,2.88,0.0124,0.1205,0.779,-0.007,0.0275,-0.9518,50,random,,,,,,
254,2080768,8621,22,2943.7,2521.0,3.2,8.4,2.04,0.9,0.75,1.0,0.0,0.9,,315.7,6.09,10.0,1.0724,14.2,0.4042,2.92,0.0113,0.0969,0.8607,-0.0088,0.0193,-0.9512,50,random,,,,,,
255,2088960,8649,28,2955.8,2288.4,3.6,8.3,2.39,0.9286,0.8333,1.0,0.0,0.9286,,342.7,6.36,15.36,1.0511,14.5,0.3931,2.86,0.0116,0.1089,0.8678,-0.0098,0.0191,-0.9472,50,random,,,,,,
256,2097152,8672,23,2967.9,2265.7,3.6,8.2,2.41,0.9091,0.8333,1.0,0.0,0.9091,,284.2,5.61,11.64,1.0597,14.77,0.3936,2.89,0.0137,0.1117,0.8347,-0.0098,0.0246,-0.9393,51,random,,,,,,
257,2105344,8701,29,2979.8,2326.8,3.5,8.3,2.3,0.6875,0.625,0.75,0.0,0.6875,,349.8,7.45,6.81,1.039,14.29,0.3907,2.83,0.0111,0.1121,0.7871,-0.0073,0.0304,-0.9409,51,random,,,,,,
258,2113536,8730,29,2991.9,2266.5,3.6,8.3,2.42,0.7333,0.5714,0.875,0.0,0.7333,,323.8,6.1,10.47,1.0394,14.2,0.3918,2.83,0.011,0.1045,0.8163,-0.0077,0.0286,-0.9301,51,random,,,,,,
259,2121728,8753,23,3003.9,2350.9,3.5,8.3,2.23,0.6667,0.6667,0.6667,0.0,0.6667,,278.5,6.26,9.07,1.0049,13.6,0.385,2.73,0.0111,0.0995,0.8084,-0.0102,0.0244,-0.9249,51,random,,,,,,
260,2129920,8776,23,3015.6,2561.1,3.2,8.3,2.01,0.8,0.8,0.8,0.0,0.8,,337.0,6.74,4.1,1.0492,14.37,0.3937,2.86,0.0105,0.1135,0.8614,-0.0093,0.0177,-0.948,51,random,,,,,,
261,2138112,8795,19,3027.2,2580.7,3.2,8.4,1.95,0.75,0.8,0.6667,0.0,0.75,,324.9,6.26,1.0,1.0425,14.86,0.3863,2.84,0.011,0.1068,0.8626,-0.0084,0.019,-0.9342,52,random,,,,,,
262,2146304,8833,38,3039.3,2329.0,3.5,8.4,2.26,0.8095,0.7,0.9091,0.0,0.8095,,304.4,5.79,2.62,1.0066,14.15,0.3799,2.74,0.0111,0.1035,0.7498,-0.01,0.0323,-0.9471,52,random,,,,,,
263,2154496,8856,23,3051.4,2347.6,3.5,8.4,2.26,0.6154,0.5,0.6667,0.0,0.6154,,240.9,5.13,7.46,1.0399,15.04,0.3836,2.83,0.0102,0.0992,0.8236,-0.0092,0.0264,-0.9213,52,random,,,,,,
264,2162688,8891,35,3063.4,2321.7,3.5,8.6,2.26,0.5882,0.6667,0.4,0.0,0.5882,,311.6,5.77,4.41,1.0564,15.03,0.3898,2.88,0.0118,0.1041,0.7771,-0.0076,0.0318,-0.9616,52,random,,,,,,
265,2170880,8913,22,3076.0,2136.7,3.8,8.4,2.57,0.5,0.5,0.5,0.0,0.5,,321.0,6.09,5.5,1.0703,14.86,0.3966,2.92,0.0091,0.0931,0.8178,-0.0095,0.0271,-0.9581,52,random,,,,,,
266,2179072,8943,30,3088.3,2272.3,3.6,8.3,2.31,1.0,1.0,1.0,0.0,1.0,,249.7,5.37,13.39,1.0097,14.68,0.3758,2.74,0.0094,0.0916,0.7857,-0.0097,0.0277,-0.9185,53,random,,,,,,
267,2187264,8975,32,3100.3,2272.4,3.6,8.4,2.37,0.7857,0.6667,0.875,0.0714,0.7857,,290.3,5.44,8.79,1.0231,15.01,0.3777,2.78,0.0088,0.0796,0.798,-0.0099,0.0282,-0.9185,53,random,,,,,,
268,2195456,9007,32,3112.6,2257.7,3.6,9.8,2.37,0.7,0.7143,0.6923,0.0,0.7,,277.3,5.78,8.25,1.0768,15.49,0.393,2.94,0.0087,0.0898,0.8233,-0.0092,0.0305,-0.9489,53,random,1018,200,0.675,0.66,0.69,1.6
269,2203648,9044,37,3127.7,2314.4,3.5,8.3,2.3,0.8571,0.7,1.0,0.0,0.8571,,254.7,5.19,13.0,1.0204,14.67,0.3799,2.77,0.0103,0.0891,0.7855,-0.0094,0.0354,-0.9239,53,random,,,,,,
270,2211840,9072,28,3139.7,2297.3,3.6,8.5,2.27,0.9167,0.8,1.0,0.0,0.9167,,239.4,4.75,11.0,1.0184,14.5,0.3809,2.77,0.0091,0.0988,0.7928,-0.0088,0.026,-0.9057,53,random,,,,,,
271,2220032,9102,30,3151.7,2445.9,3.3,8.5,2.1,0.7143,0.5,1.0,0.0,0.7143,,294.0,5.57,6.21,0.9968,14.89,0.3691,2.71,0.0128,0.1131,0.7304,-0.0061,0.0335,-0.8991,54,random,,,,,,
272,2228224,9123,21,3163.6,2545.7,3.2,8.6,1.98,0.75,0.6667,0.8333,0.0,0.75,,250.4,5.19,8.25,0.9874,15.19,0.363,2.68,0.0101,0.0939,0.8029,-0.0095,0.0199,-0.9158,54,random,,,,,,
273,2236416,9152,29,3175.4,2672.0,3.1,8.5,1.78,0.8571,0.8333,0.875,0.0,0.8571,,286.3,5.38,8.36,1.0073,15.24,0.3698,2.74,0.0101,0.0921,0.7805,-0.0094,0.0253,-0.9321,54,random,,,,,,
274,2244608,9173,21,3187.4,2482.8,3.3,8.5,2.07,0.8889,0.6667,1.0,0.0,0.8889,,363.5,6.24,7.56,1.0157,15.09,0.3742,2.76,0.0119,0.1068,0.8555,-0.0083,0.0193,-0.9179,54,random,,,,,,
275,2252800,9201,28,3199.3,2460.6,3.3,8.5,2.09,0.6923,0.6,0.75,0.0,0.6923,,305.9,5.71,10.69,1.0069,14.95,0.3722,2.74,0.0106,0.0984,0.7925,-0.0096,0.0271,-0.9178,54,random,,,,,,
276,2260992,9230,29,3211.4,2397.9,3.4,8.4,2.17,0.7,0.5,0.8333,0.0,0.7,,332.2,5.52,8.8,0.9783,15.04,0.3609,2.66,0.0117,0.0948,0.7326,-0.0094,0.0351,-0.9251,55,random,,,,,,
277,2269184,9255,25,3223.5,2303.4,3.6,8.4,2.3,0.875,0.8333,0.9,0.0,0.875,,327.6,6.44,12.31,1.037,15.55,0.3779,2.82,0.0104,0.0832,0.8659,-0.0108,0.0167,-0.9126,55,random,,,,,,
278,2277376,9281,26,3235.6,2317.8,3.5,8.5,2.28,0.7857,0.8571,0.7143,0.0714,0.7857,,289.0,5.54,6.5,1.0317,14.53,0.3856,2.81,0.0101,0.1074,0.8053,-0.0101,0.0274,-0.938,55,random,,,,,,
279,2285568,9310,29,3247.8,2344.1,3.5,8.5,2.23,0.75,0.6667,0.8,0.0,0.75,,296.4,5.97,14.06,1.0226,14.77,0.3798,2.78,0.0087,0.0848,0.784,-0.0081,0.0275,-0.9374,55,random,,,,,,
280,2293760,9337,27,3260.0,2315.9,3.5,8.4,2.28,1.0,1.0,1.0,0.0,1.0,,291.7,5.33,14.0,1.0562,15.64,0.3841,2.88,0.0126,0.1108,0.8713,-0.0092,0.0187,-0.9384,55,random,,,,,,
281,2301952,9370,33,3272.4,2168.5,3.8,8.4,2.49,0.7,0.7778,0.6364,0.0,0.7,,275.9,5.91,3.05,0.9583,14.3,0.3602,2.61,0.013,0.109,0.7656,-0.007,0.0342,-0.8745,56,random,,,,,,
282,2310144,9405,35,3284.6,2209.2,3.7,8.3,2.42,0.8889,0.8,1.0,0.0,0.8889,,263.8,4.97,11.28,0.9542,15.07,0.3518,2.6,0.009,0.0869,0.7785,-0.0102,0.0286,-0.8606,56,random,,,,,,
283,2318336,9430,25,3297.2,2034.2,4.0,8.4,2.78,0.75,0.625,0.875,0.0,0.75,,315.2,6.32,7.94,0.9692,15.38,0.3546,2.64,0.0097,0.0909,0.8516,-0.0103,0.0197,-0.8769,56,random,,,,,,
284,2326528,9462,32,3309.9,1983.5,4.1,8.3,2.87,0.6818,0.7692,0.5556,0.0,0.6818,,269.9,5.66,8.09,0.9929,15.41,0.3631,2.7,0.0123,0.1044,0.7402,-0.01,0.0371,-0.882,56,random,,,,,,
