update,timesteps,games,games_in_rollout,elapsed_s,steps_per_s,rollout_s,update_s,wait_s,win_rate,win_rate_us,win_rate_ussr,draw_rate,win_rate_vs_pool,win_rate_vs_anchor,ep_len_mean,turn_mean,entropy,k_valid,entropy_ratio,k_eff,approx_kl,clip_fraction,explained_variance,policy_loss,value_loss,entropy_loss,pool_size,anchor
709,5825984,18433,20,670.2,2996.6,2.7,4.0,1.83,0.7273,0.8,0.6667,0.0,0.7273,,352.1,6.85,0.5325,17.03,0.1879,1.7,0.0092,0.0678,0.8426,-0.0041,0.0241,-0.4658,141,random
710,5834176,18458,25,676.9,3245.0,2.5,3.9,1.63,0.6154,0.5714,0.6667,0.0,0.6154,,301.2,5.44,0.5434,16.49,0.1939,1.72,0.0114,0.0663,0.8657,-0.0056,0.0225,-0.4972,141,random
711,5842368,18482,24,683.5,3109.5,2.6,4.1,1.73,0.9231,0.8333,1.0,0.0,0.9231,,286.1,5.21,0.5243,16.58,0.1867,1.69,0.0085,0.0629,0.9301,-0.0056,0.0139,-0.4856,142,random
712,5850560,18504,22,690.2,3179.1,2.6,3.8,1.69,0.6364,0.5,0.7143,0.0909,0.6364,,408.7,7.41,0.5076,17.09,0.1788,1.66,0.0074,0.0569,0.8754,-0.0051,0.0212,-0.4505,142,random
713,5858752,18528,24,696.6,3341.6,2.5,3.9,1.55,0.9167,0.875,1.0,0.0,0.9167,,399.6,6.71,0.4982,17.26,0.1749,1.65,0.0076,0.0612,0.8957,-0.0048,0.0186,-0.4571,142,random
714,5866944,18550,22,703.0,3367.6,2.4,3.9,1.55,0.7,1.0,0.5,0.0,0.7,,362.8,6.23,0.508,16.97,0.1794,1.66,0.0103,0.0682,0.8261,-0.0057,0.0268,-0.4572,142,random
715,5875136,18572,22,709.4,3445.1,2.4,4.1,1.48,0.8,0.7143,1.0,0.0,0.8,,290.0,5.18,0.5529,17.39,0.1936,1.74,0.009,0.0598,0.8574,-0.0067,0.0219,-0.4772,142,random
716,5883328,18592,20,715.8,3645.0,2.2,3.9,1.34,0.7778,0.75,1.0,0.0,0.7778,,369.9,6.35,0.5241,18.29,0.1803,1.69,0.0078,0.0644,0.8677,-0.0063,0.0171,-0.4621,143,random
717,5891520,18615,23,722.3,3366.9,2.4,3.9,1.55,0.75,1.0,0.7143,0.0,0.75,,415.8,6.39,0.5492,17.4,0.1923,1.73,0.0109,0.0633,0.8843,-0.0066,0.0184,-0.4722,143,random
718,5899712,18637,22,728.8,3254.0,2.5,4.0,1.63,0.6667,0.7143,0.6,0.0,0.6667,,354.5,6.18,0.5301,17.08,0.1868,1.7,0.008,0.0658,0.8527,-0.0067,0.0247,-0.4977,143,random
719,5907904,18656,19,735.5,3100.5,2.6,3.9,1.77,1.0,1.0,1.0,0.0,1.0,,263.8,5.05,0.5544,17.37,0.1942,1.74,0.0098,0.0717,0.9036,-0.0071,0.0184,-0.4887,143,random
720,5916096,18684,28,742.3,2921.0,2.8,4.1,1.89,0.7143,0.625,0.8333,0.0,0.7143,,345.7,6.07,0.5431,17.32,0.1904,1.72,0.0075,0.0593,0.8925,-0.0067,0.0232,-0.5212,143,random
721,5924288,18718,34,749.5,2758.2,3.0,3.9,2.03,0.75,0.75,0.75,0.0,0.75,,458.4,6.85,0.5251,16.33,0.188,1.69,0.007,0.0661,0.8761,-0.0061,0.0241,-0.4694,144,random
722,5932480,18740,22,756.3,2831.2,2.9,3.9,1.99,0.7059,0.625,0.7778,0.0,0.7059,,227.1,5.14,0.5154,16.28,0.1847,1.67,0.0104,0.0672,0.8908,-0.0067,0.02,-0.4847,144,random
723,5940672,18761,21,763.1,2967.6,2.8,4.0,1.87,0.7059,0.5556,0.875,0.0,0.7059,,272.0,5.95,0.5588,17.17,0.1965,1.75,0.0086,0.0692,0.9108,-0.0071,0.0142,-0.4968,144,random
724,5948864,18785,24,769.9,3052.1,2.7,3.9,1.79,0.7273,0.6,0.8333,0.0,0.7273,,385.7,6.71,0.5471,16.81,0.1939,1.73,0.0103,0.0678,0.9167,-0.0073,0.0153,-0.4979,144,random
725,5957056,18810,25,776.3,3341.0,2.5,3.9,1.56,0.8,0.5,0.875,0.0,0.8,,366.4,6.24,0.5244,17.14,0.1846,1.69,0.0075,0.0624,0.8835,-0.0073,0.0223,-0.4719,144,random
726,5965248,18830,20,782.8,3303.7,2.5,4.1,1.6,1.0,1.0,1.0,0.0,1.0,,370.1,5.8,0.5157,17.29,0.1809,1.67,0.0101,0.062,0.9379,-0.0073,0.0122,-0.4752,145,random
727,5973440,18862,32,789.5,3212.9,2.5,3.9,1.64,0.7059,0.7,0.7143,0.0588,0.7059,,344.7,6.47,0.536,16.71,0.1903,1.71,0.0156,0.0729,0.8711,-0.006,0.0259,-0.4902,145,random
728,5981632,18882,20,795.9,3423.5,2.4,4.1,1.51,0.8,0.5,1.0,0.0,0.8,,231.9,4.5,0.5237,16.41,0.1872,1.69,0.0098,0.0608,0.8947,-0.0038,0.0207,-0.461,145,random
729,5989824,18901,19,802.2,3804.2,2.2,3.9,1.28,0.8,0.6667,0.8571,0.0,0.8,,320.9,5.79,0.5644,17.04,0.199,1.76,0.0077,0.0627,0.9166,-0.007,0.0151,-0.5001,145,random
730,5998016,18922,21,808.3,3770.6,2.2,4.1,1.3,0.8333,0.6667,1.0,0.0,0.8333,,461.7,6.9,0.5292,17.42,0.1852,1.7,0.0097,0.0608,0.904,-0.0069,0.0171,-0.4767,145,random
731,6006208,18940,18,814.7,3585.7,2.3,3.9,1.41,1.0,1.0,1.0,0.0,1.0,,439.2,6.72,0.5616,17.2,0.1974,1.75,0.0083,0.0589,0.9362,-0.0074,0.0136,-0.4968,146,random
732,6014400,18964,24,821.1,3415.7,2.4,3.9,1.51,0.7273,0.6667,0.8,0.0,0.7273,,383.1,6.33,0.5462,16.21,0.1961,1.73,0.0088,0.0674,0.9361,-0.0058,0.0136,-0.4938,146,random
733,6022592,18994,30,827.4,3480.2,2.4,4.0,1.44,0.8667,0.8,1.0,0.0,0.8667,,280.1,5.03,0.5435,16.2,0.1952,1.72,0.009,0.0613,0.8958,-0.0062,0.0216,-0.4817,146,random
