update,timesteps,games,games_in_rollout,elapsed_s,steps_per_s,rollout_s,update_s,wait_s,win_rate,win_rate_us,win_rate_ussr,draw_rate,win_rate_vs_pool,win_rate_vs_anchor,ep_len_mean,turn_mean,entropy,k_valid,entropy_ratio,k_eff,approx_kl,clip_fraction,explained_variance,policy_loss,value_loss,entropy_loss,pool_size,anchor
409,3353664,11444,25,1783.2,2356.4,3.5,8.4,2.31,0.6667,0.75,0.625,0.0,0.6667,,455.4,7.84,0.8075,16.52,0.288,2.24,0.01,0.0805,0.8946,-0.0072,0.0178,-0.7301,81,random
410,3361856,11467,23,1795.1,2452.7,3.3,8.3,2.18,0.7143,0.6,0.7778,0.0,0.7143,,392.3,7.22,0.7693,17.37,0.2695,2.16,0.0079,0.0658,0.8846,-0.0089,0.0194,-0.7195,81,random
411,3370048,11483,16,1806.7,2621.0,3.1,8.4,1.98,1.0,1.0,1.0,0.0,1.0,,291.4,6.0,0.7668,16.72,0.2723,2.15,0.0093,0.0845,0.9206,-0.0098,0.0121,-0.7031,82,random
412,3378240,11502,19,1818.5,2575.2,3.2,8.4,2.01,0.7,0.6667,0.75,0.0,0.7,,377.8,6.68,0.7825,17.55,0.2731,2.19,0.0095,0.0713,0.8587,-0.0079,0.0204,-0.6995,82,random
413,3386432,11527,25,1830.4,2431.0,3.4,8.3,2.19,1.0,1.0,1.0,0.0,1.0,,445.7,6.8,0.7513,17.4,0.2631,2.12,0.0082,0.0641,0.8762,-0.0091,0.0211,-0.6645,82,random
414,3394624,11545,18,1842.4,2340.1,3.5,8.3,2.35,0.9,0.8,1.0,0.0,0.9,,436.0,7.67,0.7386,16.43,0.2639,2.09,0.0105,0.0795,0.9166,-0.0084,0.0134,-0.6958,82,random
415,3402816,11567,22,1854.3,2380.7,3.4,8.3,2.26,0.5385,0.25,1.0,0.0,0.5385,,372.5,6.82,0.7654,17.02,0.27,2.15,0.0075,0.0659,0.8533,-0.0079,0.0233,-0.6891,82,random
416,3411008,11586,19,1866.1,2491.4,3.3,8.1,2.15,0.8333,0.6667,1.0,0.0,0.8333,,416.3,7.74,0.7907,16.79,0.2803,2.2,0.0089,0.0688,0.8746,-0.009,0.0198,-0.7335,83,random
417,3419200,11612,26,1877.7,2474.8,3.3,8.4,2.09,0.7778,0.8333,0.6667,0.0,0.7778,,323.1,5.5,0.8055,17.09,0.2838,2.24,0.012,0.0718,0.8265,-0.0067,0.0262,-0.7202,83,random
418,3427392,11636,24,1889.4,2546.7,3.2,8.2,2.04,0.6923,0.8333,0.5714,0.0,0.6923,,447.5,7.67,0.7822,16.43,0.2795,2.19,0.0091,0.0732,0.8365,-0.0079,0.0233,-0.7075,83,random
