update,timesteps,games,games_in_rollout,elapsed_s,steps_per_s,rollout_s,update_s,wait_s,win_rate,win_rate_us,win_rate_ussr,draw_rate,win_rate_vs_pool,win_rate_vs_anchor,ep_len_mean,turn_mean,vp_mean,entropy,k_valid,entropy_ratio,k_eff,approx_kl,clip_fraction,explained_variance,policy_loss,value_loss,entropy_loss,pool_size,anchor,eval_seed,eval_games,eval_win_rate,eval_win_rate_us,eval_win_rate_ussr,eval_s
310,2539584,9688,39,1232.2,2355.4,3.5,7.9,2.33,0.5333,0.25,0.6364,0.0,0.5333,,268.4,4.79,0.87,0.6917,12.65,0.2725,2.0,0.0117,0.0779,0.7029,-0.0065,0.0401,-0.6199,61,random,,,,,,
311,2547776,9719,31,1243.8,2303.0,3.6,7.8,2.45,0.55,0.5714,0.5385,0.0,0.55,,213.3,4.81,3.05,0.6813,12.59,0.269,1.98,0.0101,0.0753,0.7209,-0.0077,0.0303,-0.6148,62,random,,,,,,
312,2555968,9744,25,1254.8,2640.6,3.1,7.8,2.01,0.6471,0.75,0.5556,0.0,0.6471,,240.3,5.64,2.12,0.6953,13.14,0.2699,2.0,0.0092,0.0631,0.7963,-0.0072,0.0243,-0.617,62,random,,,,,,
313,2564160,9786,42,1266.0,2556.3,3.2,7.9,2.07,0.7308,0.9091,0.6,0.0,0.7308,,197.0,4.33,4.77,0.7108,12.68,0.2798,2.04,0.0086,0.0632,0.7424,-0.0074,0.0389,-0.6551,62,random,,,,,,
314,2572352,9810,24,1277.1,2717.7,3.0,7.7,1.93,0.9167,0.6667,1.0,0.0,0.9167,,286.0,5.29,13.08,0.7324,13.47,0.2816,2.08,0.0116,0.0924,0.8565,-0.0071,0.0202,-0.6432,62,random,,,,,,
315,2580544,9851,41,1288.1,2625.0,3.1,7.9,1.99,0.6316,0.7,0.5556,0.0,0.6316,,292.1,5.46,5.74,0.7181,12.42,0.285,2.05,0.008,0.0769,0.6765,-0.0063,0.0467,-0.6358,62,random,,,,,,
316,2588736,9876,25,1299.2,2722.7,3.0,7.9,1.93,0.8889,1.0,0.8,0.0,0.8889,,268.4,4.92,5.89,0.7091,12.86,0.2776,2.03,0.0108,0.0881,0.7647,-0.0055,0.026,-0.6384,63,random,,,,,,
317,2596928,9908,32,1310.8,2352.4,3.5,2.5,2.37,0.7222,0.6667,0.7778,0.0,0.7222,,250.6,4.91,2.83,0.7233,13.49,0.278,2.06,0.0191,0.0339,0.7892,-0.001,0.031,-0.6291,63,random,,,,,,
318,2605120,9941,33,1317.0,2343.3,3.5,7.8,2.32,0.5294,0.5,0.6667,0.0,0.5294,,264.6,5.52,-0.29,0.7343,13.2,0.2846,2.08,0.0107,0.076,0.7801,-0.0073,0.0342,-0.6585,63,random,,,,,,
319,2613312,9984,43,1328.4,2355.3,3.5,7.8,2.32,0.8846,0.9091,0.8667,0.0,0.8846,,235.3,4.98,9.15,0.7263,12.84,0.2845,2.07,0.0099,0.0638,0.7724,-0.0081,0.0318,-0.6585,63,random,,,,,,
320,2621504,10015,31,1339.8,2435.9,3.4,9.2,2.22,0.6111,0.6,0.625,0.0,0.6111,,208.8,4.32,3.56,0.7563,13.23,0.2928,2.13,0.0105,0.0638,0.7246,-0.0066,0.036,-0.6229,63,random,1020,200,0.6475,0.555,0.74,1.3
321,2629696,10045,30,1353.9,2384.2,3.4,8.0,2.28,0.6667,0.6667,0.6667,0.0,0.6667,,254.4,5.57,3.0,0.6831,13.04,0.266,1.98,0.0095,0.0728,0.7346,-0.0063,0.0347,-0.6289,64,random,,,,,,
322,2637888,10088,43,1365.3,2514.7,3.3,7.8,2.03,0.8095,0.9091,0.7,0.0,0.8095,,237.3,4.77,3.0,0.7057,12.81,0.2767,2.03,0.0084,0.0602,0.7264,-0.0065,0.0374,-0.6299,64,random,,,,,,
323,2646080,10110,22,1376.5,2528.7,3.2,7.9,2.09,0.8,0.7143,1.0,0.0,0.8,,292.2,5.41,0.8,0.6905,13.0,0.2692,1.99,0.0104,0.0647,0.795,-0.0065,0.0235,-0.6096,64,random,,,,,,
324,2654272,10135,25,1387.8,2588.7,3.2,8.0,2.05,0.3333,0.125,0.5714,0.0,0.3333,,261.2,5.4,0.47,0.7196,13.43,0.277,2.05,0.0131,0.0808,0.7615,-0.0053,0.0318,-0.6286,64,random,,,,,,
325,2662464,10164,29,1398.7,2950.0,2.8,8.2,1.69,0.5789,0.5833,0.5714,0.0,0.5789,,250.9,5.41,0.63,0.7329,13.75,0.2796,2.08,0.0115,0.0792,0.7628,-0.007,0.0289,-0.6572,64,random,,,,,,
