update,timesteps,games,games_in_rollout,elapsed_s,steps_per_s,rollout_s,update_s,wait_s,win_rate,win_rate_us,win_rate_ussr,draw_rate,win_rate_vs_pool,win_rate_vs_anchor,ep_len_mean,turn_mean,vp_mean,entropy,k_valid,entropy_ratio,k_eff,approx_kl,clip_fraction,explained_variance,policy_loss,value_loss,entropy_loss,pool_size,anchor
129,1056768,4703,34,1370.1,2808.6,2.9,7.5,1.8,0.7222,0.5833,1.0,0.0,0.7222,,241.3,5.32,5.72,1.1545,11.01,0.4812,3.17,0.0115,0.0861,0.7259,-0.0093,0.0337,-1.0617,25,random
130,1064960,4733,30,1380.8,2721.2,3.0,7.5,1.85,0.6875,0.6667,0.7,0.0,0.6875,,255.9,5.93,6.25,1.1086,10.47,0.472,3.03,0.0086,0.0847,0.7785,-0.0077,0.03,-1.0497,25,random
131,1073152,4770,37,1391.4,2761.8,3.0,7.5,1.83,0.9167,0.8571,1.0,0.0,0.9167,,314.7,6.05,6.5,1.1589,11.45,0.4754,3.19,0.0107,0.0815,0.7344,-0.0083,0.0361,-1.0513,26,random
132,1081344,4804,34,1402.1,2665.7,3.1,7.5,1.8,0.6875,0.5556,0.8571,0.0,0.6875,,284.1,5.97,4.19,1.1526,10.63,0.4876,3.17,0.0083,0.0753,0.7461,-0.0085,0.0337,-1.0444,26,random
133,1089536,4830,26,1412.4,3070.6,2.7,7.4,1.54,0.75,0.75,0.75,0.0,0.75,,206.8,5.38,9.5,1.1429,10.96,0.4774,3.14,0.0109,0.105,0.7929,-0.0052,0.0254,-1.0479,26,random
134,1097728,4851,21,1422.6,3098.7,2.6,7.6,1.5,0.6,0.0,0.75,0.0,0.6,,296.2,5.95,5.0,1.156,12.0,0.4652,3.18,0.0116,0.1081,0.7256,-0.0068,0.0318,-1.06,26,random
135,1105920,4883,32,1433.3,2819.7,2.9,7.7,1.78,0.75,0.7143,0.7778,0.0,0.75,,264.9,6.06,9.19,1.1609,12.5,0.4597,3.19,0.0109,0.1259,0.7161,-0.0057,0.0342,-1.0659,26,random
136,1114112,4911,28,1444.0,2850.0,2.9,7.6,1.71,0.9091,0.8333,1.0,0.0,0.9091,,343.1,6.93,10.18,1.1031,11.1,0.4583,3.01,0.0099,0.0851,0.777,-0.0066,0.0258,-1.0434,27,random
137,1122304,4938,27,1454.6,2827.2,2.9,7.0,1.78,0.8,0.625,1.0,0.0,0.8,,271.2,6.07,9.13,1.1584,11.9,0.4678,3.18,0.0101,0.0933,0.8367,-0.008,0.02,-1.0479,27,random
138,1130496,4972,34,1465.1,2481.6,3.3,7.2,2.14,0.7857,0.8571,0.7143,0.0,0.7857,,257.6,5.44,8.07,1.1178,11.3,0.461,3.06,0.0099,0.075,0.7172,-0.0083,0.0372,-1.0738,27,random
139,1138688,5007,35,1475.6,2559.8,3.2,7.2,2.07,0.8636,0.8889,0.8462,0.0,0.8636,,233.8,6.0,11.14,1.1127,11.29,0.459,3.04,0.0117,0.0791,0.7853,-0.0075,0.0292,-1.0459,27,random
140,1146880,5039,32,1486.2,2521.0,3.2,7.3,2.07,0.7333,0.7273,0.75,0.0,0.7333,,256.4,5.56,1.27,1.1678,12.05,0.4691,3.21,0.011,0.1006,0.7073,-0.0079,0.0325,-1.1047,27,random
